glyph_name,ps_name,USV,DesignerOrder
.notdef,.notdef,,1
.null,.null,,2
nonmarkingreturn,nonmarkingreturn,000D,3.1
space,space,0020,3.2
exclam,exclam,0021,3.3
quotedbl,quotedbl,0022,4
numbersign,numbersign,0023,5
dollar,dollar,0024,6
percent,percent,0025,7
ampersand,ampersand,0026,8
quotesingle,quotesingle,0027,9
parenleft,parenleft,0028,10
parenright,parenright,0029,11
asterisk,asterisk,002A,12
plus,plus,002B,13
comma,comma,002C,14
hyphen,hyphen,002D,15
period,period,002E,16
slash,slash,002F,17
zero,zero,0030,18
one,one,0031,19
two,two,0032,20
three,three,0033,21
four,four,0034,22
five,five,0035,23
six,six,0036,24
seven,seven,0037,25
eight,eight,0038,26
nine,nine,0039,27
colon,colon,003A,28
semicolon,semicolon,003B,29
less,less,003C,30
equal,equal,003D,31
greater,greater,003E,32
question,question,003F,33
at,at,0040,34
A,A,0041,35
B,B,0042,36
C,C,0043,37
D,D,0044,38
E,E,0045,39
F,F,0046,40
G,G,0047,41
H,H,0048,42
I,I,0049,43
J,J,004A,44
K,K,004B,45
L,L,004C,46
M,M,004D,47
N,N,004E,48
O,O,004F,49
P,P,0050,50
Q,Q,0051,51
R,R,0052,52
S,S,0053,53
T,T,0054,54
U,U,0055,55
V,V,0056,56
W,W,0057,57
X,X,0058,58
Y,Y,0059,59
Z,Z,005A,60
bracketleft,bracketleft,005B,61
backslash,backslash,005C,62
bracketright,bracketright,005D,63
asciicircum,asciicircum,005E,64
underscore,underscore,005F,65
grave,grave,0060,66
a,a,0061,67
b,b,0062,68
c,c,0063,69
d,d,0064,70
e,e,0065,71
f,f,0066,72
g,g,0067,73
h,h,0068,74
i,i,0069,75
j,j,006A,76
k,k,006B,77
l,l,006C,78
m,m,006D,79
n,n,006E,80
o,o,006F,81
p,p,0070,82
q,q,0071,83
r,r,0072,84
s,s,0073,85
t,t,0074,86
u,u,0075,87
v,v,0076,88
w,w,0077,89
x,x,0078,90
y,y,0079,91
z,z,007A,92
braceleft,braceleft,007B,93
bar,bar,007C,94
braceright,braceright,007D,95
asciitilde,asciitilde,007E,96
uni00A0,uni00A0,00A0,97
exclamdown,exclamdown,00A1,98
cent,cent,00A2,99
sterling,sterling,00A3,100
currency,currency,00A4,101
yen,yen,00A5,102
brokenbar,brokenbar,00A6,103
section,section,00A7,104
dieresis,dieresis,00A8,105
copyright,copyright,00A9,106
ordfeminine,ordfeminine,00AA,107
guillemotleft,guillemotleft,00AB,108
logicalnot,logicalnot,00AC,109
uni00AD,uni00AD,00AD,110
registered,registered,00AE,111
macron,macron,00AF,112
degree,degree,00B0,113
plusminus,plusminus,00B1,114
twosuperior,twosuperior,00B2,115
threesuperior,threesuperior,00B3,116
acute,acute,00B4,117
mu,mu,00B5,118
paragraph,paragraph,00B6,119
periodcentered,periodcentered,00B7,120
cedilla,cedilla,00B8,121
onesuperior,onesuperior,00B9,122
ordmasculine,ordmasculine,00BA,123
guillemotright,guillemotright,00BB,124
onequarter,onequarter,00BC,125
onehalf,onehalf,00BD,126
threequarters,threequarters,00BE,127
questiondown,questiondown,00BF,128
Agrave,Agrave,00C0,129
Aacute,Aacute,00C1,130
Acircumflex,Acircumflex,00C2,131
Atilde,Atilde,00C3,132
Adieresis,Adieresis,00C4,133
Aring,Aring,00C5,134
AE,AE,00C6,135
Ccedilla,Ccedilla,00C7,136
Egrave,Egrave,00C8,137
Eacute,Eacute,00C9,138
Ecircumflex,Ecircumflex,00CA,139
Edieresis,Edieresis,00CB,140
Igrave,Igrave,00CC,141
Iacute,Iacute,00CD,142
Icircumflex,Icircumflex,00CE,143
Idieresis,Idieresis,00CF,144
Eth,Eth,00D0,145
Ntilde,Ntilde,00D1,146
Ograve,Ograve,00D2,147
Oacute,Oacute,00D3,148
Ocircumflex,Ocircumflex,00D4,149
Otilde,Otilde,00D5,150
Odieresis,Odieresis,00D6,151
multiply,multiply,00D7,152
Oslash,Oslash,00D8,153
Ugrave,Ugrave,00D9,154
Uacute,Uacute,00DA,155
Ucircumflex,Ucircumflex,00DB,156
Udieresis,Udieresis,00DC,157
Yacute,Yacute,00DD,158
Thorn,Thorn,00DE,159
germandbls,germandbls,00DF,160
agrave,agrave,00E0,161
aacute,aacute,00E1,162
acircumflex,acircumflex,00E2,163
atilde,atilde,00E3,164
adieresis,adieresis,00E4,165
aring,aring,00E5,166
ae,ae,00E6,167
ccedilla,ccedilla,00E7,168
egrave,egrave,00E8,169
eacute,eacute,00E9,170
ecircumflex,ecircumflex,00EA,171
edieresis,edieresis,00EB,172
igrave,igrave,00EC,173
iacute,iacute,00ED,174
icircumflex,icircumflex,00EE,175
idieresis,idieresis,00EF,176
eth,eth,00F0,177
ntilde,ntilde,00F1,178
ograve,ograve,00F2,179
oacute,oacute,00F3,180
ocircumflex,ocircumflex,00F4,181
otilde,otilde,00F5,182
odieresis,odieresis,00F6,183
divide,divide,00F7,184
oslash,oslash,00F8,185
ugrave,ugrave,00F9,186
uacute,uacute,00FA,187
ucircumflex,ucircumflex,00FB,188
udieresis,udieresis,00FC,189
yacute,yacute,00FD,190
thorn,thorn,00FE,191
ydieresis,ydieresis,00FF,192
dotlessi,dotlessi,0131,193
Lslash,Lslash,0141,194
lslash,lslash,0142,195
OE,OE,0152,196
oe,oe,0153,197
Scaron,Scaron,0160,198
scaron,scaron,0161,199
Ydieresis,Ydieresis,0178,200
Zcaron,Zcaron,017D,201
zcaron,zcaron,017E,202
florin,florin,0192,203
uni02B9,uni02B9,02B9,204
uni02BC,uni02BC,02BC,205
circumflex,circumflex,02C6,206
caron,caron,02C7,207
breve,breve,02D8,208
dotaccent,dotaccent,02D9,209
ring,ring,02DA,210
ogonek,ogonek,02DB,211
tilde,tilde,02DC,212
hungarumlaut,hungarumlaut,02DD,213
uni0305,uni0305,0305,214.1
uni0305.half,uni0305.half,,214.2
uni0307,uni0307,0307,215
uni0323,uni0323,0323,216
uni0332,uni0332,0332,217.1
uni0332.half,uni0332.half,,217.2
uni0333,uni0333,0333,218.1
uni0333.half,uni0333.half,,218.2
uni0338,uni0338,0338,219
uni033F,uni033F,033F,220.1
uni033F.half,uni033F.half,,220.2
uni034F,uni034F,034F,221
uni0352,uni0352,0352,222
pi,pi,03C0,230.1
uni2000,uni2000,2000,230.2
uni2001,uni2001,2001,230.3
uni2002,uni2002,2002,230.4
uni2003,uni2003,2003,230.5
uni2004,uni2004,2004,230.6
uni2005,uni2005,2005,230.7
uni2006,uni2006,2006,230.8
uni2007,uni2007,2007,231
uni2008,uni2008,2008,232
uni2009,uni2009,2009,233
uni200A,uni200A,200A,234
uni200B,uni200B,200B,235
uni200C,uni200C,200C,236
uni200D,uni200D,200D,237
uni200E,uni200E,200E,238
uni200F,uni200F,200F,239
uni2010,uni2010,2010,240
uni2011,uni2011,2011,241
figuredash,figuredash,2012,242
endash,endash,2013,243
emdash,emdash,2014,244
uni2015,uni2015,2015,245
quoteleft,quoteleft,2018,246
quoteright,quoteright,2019,247
quotesinglbase,quotesinglbase,201A,248
quotedblleft,quotedblleft,201C,249
quotedblright,quotedblright,201D,250
quotedblbase,quotedblbase,201E,251
dagger,dagger,2020,252
daggerdbl,daggerdbl,2021,253
bullet,bullet,2022,254
ellipsis,ellipsis,2026,255
uni2028,uni2028,2028,256
uni2029,uni2029,2029,257
uni202A,uni202A,202A,258
uni202B,uni202B,202B,259
uni202C,uni202C,202C,260
uni202D,uni202D,202D,261
uni202E,uni202E,202E,262
uni202F,uni202F,202F,263
perthousand,perthousand,2030,264
guilsinglleft,guilsinglleft,2039,265
guilsinglright,guilsinglright,203A,266
fraction,fraction,2044,267
uni2060,uni2060,2060,268
uni2061,uni2061,2061,269
uni2062,uni2062,2062,270
uni2063,uni2063,2063,271
uni206A,uni206A,206A,272
uni206B,uni206B,206B,273
uni206C,uni206C,206C,274
uni206D,uni206D,206D,275
uni206E,uni206E,206E,276
uni206F,uni206F,206F,277
uni2070,uni2070,2070,278
uni2074,uni2074,2074,279
uni2075,uni2075,2075,280
uni2076,uni2076,2076,281
uni2077,uni2077,2077,282
uni2078,uni2078,2078,283
uni2079,uni2079,2079,284
uni2080,uni2080,2080,285
uni2081,uni2081,2081,286
uni2082,uni2082,2082,287
uni2083,uni2083,2083,288
uni2084,uni2084,2084,289
uni2085,uni2085,2085,290
uni2086,uni2086,2086,291
uni2087,uni2087,2087,292
uni2088,uni2088,2088,293
uni2089,uni2089,2089,294
Euro,Euro,20AC,295
uni20E5,uni20E5,20E5,296
trademark,trademark,2122,297
Omega,Omega,2126,298
partialdiff,partialdiff,2202,299
Delta,Delta,2206,300
product,product,220F,301
summation,summation,2211,302
minus,minus,2212,303
radical,radical,221A,304
infinity,infinity,221E,305
integral,integral,222B,306
approxequal,approxequal,2248,307
notequal,notequal,2260,308
lessequal,lessequal,2264,309
greaterequal,greaterequal,2265,310
lozenge,lozenge,25CA,311
uni25CC,uni25CC,25CC,312
uni266D,uni266D,266D,313.1
uni266D.Lrg,uni266D.Lrg,,313.2
uni266E,uni266E,266E,314.1
uni266E.Lrg,uni266E.Lrg,,314.2
uni266F,uni266F,266F,315.1
uni266F.Lrg,uni266F.Lrg,,315.2
uniA78B,uniA78B,A78B,316
uniA78C,uniA78C,A78C,317
fi,fi,FB01,318
fl,fl,FB02,319
uniFE00,uniFE00,FE00,320
uniFE01,uniFE01,FE01,321
uniFE02,uniFE02,FE02,322
uniFE03,uniFE03,FE03,323
uniFE04,uniFE04,FE04,324
uniFE05,uniFE05,FE05,325
uniFE06,uniFE06,FE06,326
uniFE07,uniFE07,FE07,327
uniFE08,uniFE08,FE08,328
uniFE09,uniFE09,FE09,329
uniFE0A,uniFE0A,FE0A,330
uniFE0B,uniFE0B,FE0B,331
